Clue (6),ANSWER
 Officiated (5),ACTED
 Took a role (5),ACTED
 Took measures (5),ACTED
 Pituitary hormone (4),ACTH
 Opera opener (4),ACTI
 Play beginning (4),ACTI
 Play opener (4),ACTI
 Play opener (4),ACTI
 Play opening (4),ACTI
 In office as a stopgap (6),ACTING
 Director's word (6),ACTION
 On the go (6),ACTIVE
 Boston suburb (5),ACTON
 Take the bull by the horns (5),ACTON
 Book by Moss Hart (6),ACTONE
 Man of parts (5),ACTOR
 Meryl Streep. to the politically correct (5),ACTOR
 Performer (5),ACTOR
 SAG member (5),ACTOR
 SAG members (6),ACTORS
 Play charades (6),ACTOUT
 Bible book (4),ACTS
 Bible book (4),ACTS
 Hams it up (4),ACTS
 Play parts (4),ACTS
 Play parts (4),ACTS
 Takes the stage (4),ACTS
 Honest-to-goodness (6),ACTUAL
 Malfunction (5),ACTUP
 Malfunction (5),ACTUP
 Misbehave (5),ACTUP
 Sharpness (6),ACUITY
 Keenness of judgment (6),ACUMEN
 Integra maker (5),ACURA
 Legend maker (5),ACURA
 Legend maker (5),ACURA
 Legend maker (5),ACURA
 Legend maker (5),ACURA
 Legend maker (5),ACURA
 Severe and sharp (5),ACUTE
 Axiom (5),ADAGE
 Pithy saying (5),ADAGE
 Proverb (5),ADAGE
 Saying (5),ADAGE
 Saying (5),ADAGE
 Saying (5),ADAGE
 Maxims (6),ADAGES
 Saws (6),ADAGES
 Slower than andante (6),ADAGIO
 Robin of song (5),ADAIR
 Allan-__ (5),ADALE
 Ant on MTV (4),ADAM
 Economist Smith (4),ADAM
 Economist Smith (4),ADAM
 Economist Smith (4),ADAM
 Economist Smith (4),ADAM
 First of men (4),ADAM
 One of the Cartwright boys (4),ADAM
 One of the Ponderosa boys (4),ADAM
" West of ""Batman"" (4)",ADAM
" West of ""Batman"" (4)",ADAM
 __ Clayton Powell Jr. (4),ADAM
 First Lady Abigail (5),ADAMS
 John or John Q. (5),ADAMS
 Photographer Ansel (5),ADAMS
 __ apple (5),ADAMS
 Bell town (5),ADANO
 Bell town (5),ADANO
 Hersey bell town (5),ADANO
 Hersey bell town (5),ADANO
 Hersey title word (5),ADANO
 Hersey title word (5),ADANO
 Hersey town (5),ADANO
 Conform (5),ADAPT
 Make suitable (5),ADAPT
 Makes adjustments (6),ADAPTS
 Month after Shevat (4),ADAR
 Shebat follower (4),ADAR
 Sixth month of the Hebrew calendar (4),ADAR
" ""__ which will live in infamy"" (5)",ADATE
 Extra __ attraction (5),ADDED
 Found the sum of (5),ADDED
 Calculator input (6),ADDEND
 Calculating snake? (5),ADDER
 Harmless crawler (5),ADDER
 Confuse (5),ADDLE
 Confuse (5),ADDLE
 Increase (5),ADDON
 Practices Chisanbop (4),ADDS
 Tacks on (4),ADDS
 Tacks on (4),ADDS
 Throws in (4),ADDS
" ""Gimmee  ____"" (cheerleaders' cry) (4)",ADEE
" ""Zip-__-Doo-Dah"" (4)",ADEE
" ""Zip-___-Doo-Dah"" (4)",ADEE
" ""Zip-____-Doo-Dah"" (4)",ADEE
" ""Zip-_____-Doo-Dah"" (4)",ADEE
" ""Doe. __ ..."" (5)",ADEER
" ""A Passage To India"" character (5)",ADELA
 Daughter of William the Conqueror (5),ADELA
 Journalist Rogers St. Johns (5),ADELA
 Journalist Rogers St. Johns (5),ADELA
 Writer St. John (5),ADELA
 __ Rogers St. Johns (5),ADELA
 An Astaire (5),ADELE
 An Astaire (5),ADELE
 Fashion's Simpson (5),ADELE
 Food author Davis (5),ADELE
 Fred Astaire's sister (5),ADELE
 Fred Astaire's sister (5),ADELE
 Fred's sister (5),ADELE
 Arabian Sea gulf (4),ADEN
 Arabian Sea gulf (4),ADEN
 Arabian Sea gulf (4),ADEN
 Arabian Sea gulf (4),ADEN
 Arabian gulf (4),ADEN
 Asian gulf (4),ADEN
 Mideast gulf (4),ADEN
 Yemeni port (4),ADEN
 Yemeni port (4),ADEN
 Yemeni port (4),ADEN
 Yemeni port (4),ADEN
 Proficient (5),ADEPT
 Shows advanced skill (5),ADEPT
 Skillful (5),ADEPT
 Hot-weather quenchers (4),ADES
 Lime drinks (4),ADES
 Summer quaffs (4),ADES
 Summer quenchers (4),ADES
 Stick (6),ADHERE
 For a specific purpose (5),ADHOC
 Type of committee (5),ADHOC
 On ____ (reducing) (5),ADIET
 What we all are on (5),ADIET
" ""Bye-bye. Brigitte"" (5)",ADIEU
 Amiens farewell! (5),ADIEU
 Farewell. to Francoise (5),ADIEU
 Parting word (5),ADIEU
 Tours ta-ta (5),ADIEU
 Farewells (6),ADIEUS
" ""Brother. Can You Spare __?"" (5)",ADIME
 Stop on __ (5),ADIME
 Tennis score (4),ADIN
 Tennis term (4),ADIN
 Baja bye-bye (5),ADIOS
 So long in San Juan (5),ADIOS
 So long. senor (5),ADIOS
 Tampico ta-ta (5),ADIOS
 Fine-tune (6),ADJUST
 Tweak (6),ADJUST
 Dwight's two-time opponent (5),ADLAI
 Politico Stevenson (5),ADLAI
 Austrian psychiatrist Alfred (5),ADLER
 Luther of stage (5),ADLER
 Do some improv (5),ADLIB
 Make it up as you go (5),ADLIB
 Off-the-cuff (5),ADLIB
 Clio earners (5),ADMEN
 Madison Avenue-types (5),ADMEN
 Fess up (5),ADMIT
 Own up to (5),ADMIT
 High ranking naval personnel (4),ADMS
 Cliff-dweller's abode (5),ADOBE
 Pueblo building material (5),ADOBE
" ""My Life as __"" (1987 film) (4)",ADOG
" "" ... not __? When it's ajar."" (5)",ADOOR
 Take as one's own (5),ADOPT
 Be ga-ga over (5),ADORE
 Be mad about (5),ADORE
 Cherish (5),ADORE
 Idolize (5),ADORE
 Idolize (5),ADORE
 Like a lot (5),ADORE
 Only have eyes for (5),ADORE
 Really fancy (5),ADORE
 Revere (5),ADORE
 Revere (5),ADORE
 Worship (5),ADORE
 Worship (5),ADORE
 Worship (5),ADORE
 Old actress Renee (6),ADOREE
 Infatuated one (6),ADORER
 Decorate (5),ADORN
 Dress up (5),ADORN
 Commotions (4),ADOS
 Fusses (4),ADOS
 Fusses (4),ADOS
 Hubbubs (4),ADOS
 Troubles (4),ADOS
" ""What __ it is getting old"": The Rolling Stones (5)",ADRAG
 Name of six popes (6),ADRIAN
 Name of six popes (6),ADRIAN
 Directionless (6),ADRIFT
 Skillful (6),ADROIT
 Together. musically (4),ADUE
 Together. musically (4),ADUE
 Legal-age attainers (6),ADULTS
 Burned (5),ADUST
 GIZMO (4),ADZE
 Wood dresser (4),ADZE
 Wood-shaping tool (4),ADZE
 Wood-shaping tool (4),ADZE
 Axlike tools (5),ADZES
 Yellow-fever mosquito (5),AEDES
 Arm of the Mediterranean (6),AEGEAN
 Protection (5),AEGIS
 Vowel sequence (5),AEIOU
 Legendary Trojan (6),AENEAS
 A long. long time (4),AEON
 Age (4),AEON
 Eternity (4),AEON
 Many a millennium (4),AEON
 Charge with gas (6),AERATE
 Fill with fizz (6),AERATE
 Make fizzy (6),AERATE
 Put in fizz (6),AERATE
 Antenna (6),AERIAL
 Eaglet's home (5),AERIE
 Lofty abode (5),AERIE
 Dynamic beginning (4),AERO
 Dynamic start (4),AERO
 Dynamic start (4),AERO
 Dynamic starter (4),AERO
 Eddie Rickenbacker's 94th ___ Squadron (4),AERO
 Eddie Rickenbacker's 94th _____ Squadron (4),AERO
 Flying start? (4),AERO
 Plane starter. in the old days (4),AERO
 Prefix for space (4),AERO
 Prefix for space (4),AERO
 Onetime Houston hockey team (5),AEROS
 Famous fabulist (5),AESOP
 Big name in insurance (5),AETNA
 HMO provider (5),AETNA
 A great distance (4),AFAR
 A great distance (4),AFAR
 Father's robes (4),AFAR
 From a distance (4),AFAR
 In the distance (4),AFAR
 In the distance (4),AFAR
 Way off (4),AFAR
 Way off (4),AFAR
 Way off (4),AFAR
 Way. way off (4),AFAR
 Whence the lovelorn worship (4),AFAR
 Worshiper's distance? (4),AFAR
 Yonder (4),AFAR
 Forbidden romance (6),AFFAIR
 Fasten (5),AFFIX
 Be able to pay the cost of (6),AFFORD
 Brawl (6),AFFRAY
 Not worth _____ (4),AFIG
 Flaming (5),AFIRE
 In flames (5),AFIRE
 Lit (5),AFIRE
 Having___ :irritated (4),AFIT
 Throw __ (go ape) (4),AFIT
 Burning (6),AFLAME
" ""___ in her ear"": Feydeau (5)",AFLEA
 Cruising (6),AFLOAT
 Play for _____ (5),AFOOL
 Previous to (5),AFORE
 Shivering in one's shoes (6),AFRAID
 Big 'do (4),AFRO
 Curly coif (4),AFRO
 Frizzy 'do (4),AFRO
 High hairdos (5),AFROS
 Rounded coifs (5),AFROS
 Behind in place (5),AFTER
 Following (5),AFTER
 Later on (5),AFTER
" ""Flow gently. sweet ____"": Burns (5)",AFTON
" ""It's only _____"" (disclaimer) (4)",AGAG
 Anew (5),AGAIN
 In return (5),AGAIN
" ""I've got ____ in...."" (4)",AGAL
 Cords of wool which hold the kaffiyeh (4),AGAL
 Iguana (5),AGAMA
 Tropical lizard (5),AGAMA
 Capital of Guam (5),AGANA
 Guam capital (5),AGANA
 In a state of amazement (5),AGAPE
 In a state of wonder (5),AGAPE
 Alga extract (4),AGAR
 Culture medium (4),AGAR
 Food stabilizer (4),AGAR
 Gel agent (4),AGAR
 John of 67A (4),AGAR
 Lab medium (4),AGAR
 Seaweed substance (4),AGAR
 Turkish bigwigs (4),AGAS
 Turkish leaders (4),AGAS
 Andre of tennis (6),AGASSI
" ""Our Gang"" prop. sometimes (5)",AGATE
 Banded gem (5),AGATE
 Banded gem (5),AGATE
 Chalcedony (5),AGATE
 Marbles (6),AGATES
 Playing marbles (6),AGATES
 Century plant (5),AGAVE
 Rope material (5),AGAVE
 Elderly (4),AGED
 Long in the tooth (4),AGED
 Long in the tooth (4),AGED
 Made mellow (4),AGED
" ""The African Queen"" scriptwriter (4)",AGEE
" ""The Morning Watch"" author (4)",AGEE
" ""The Night of the Hunter"" screenwriter (4)",AGEE
 Baseballer Tommie (4),AGEE
 Screenwriter James (4),AGEE
 Former NASA launcher (5),AGENA
 Spacecraft-launching rocket (5),AGENA
 Exec's schedule (6),AGENDA
 Napoleon Solo. e.g. (5),AGENT
 Napoleon Solo. e.g. (5),AGENT
 Representative (5),AGENT
 Smart or Smiley (5),AGENT
 Talent scout. e.g. (5),AGENT
 Ten-percenter (5),AGENT
 Ten-percenter (5),AGENT
 ____ 86 (Maxwell Smart) (5),AGENT
 FBI guys (6),AGENTS
 Representatives (6),AGENTS
 Ancient (6),AGEOLD
 Of long standing (6),AGEOLD
" ""Ain't She Sweet?"" composer Milton (4)",AGER
 Golden or teen (4),AGER
 Teen chaser? (4),AGER
 Teen suffix (4),AGER
 Dark or Middle follower (4),AGES
 Gets ripe (4),AGES
 Matures (4),AGES
 Years and years (4),AGES
 Turkish chief (4),AGHA
 Horror-stricken (6),AGHAST
 Shocked (6),AGHAST
 Mentally quick (5),AGILE
 Nimble (5),AGILE
 Quick of foot (5),AGILE
 One more time. country-style (4),AGIN
 Opposed to. in the sticks (4),AGIN
 Premium (4),AGIO
" ""I Enjoy Being __"" (5)",AGIRL
 Shoelace end (5),AGLET
 Radiant (5),AGLOW
" ""The Eve of St. ___"" (Keats poem) (5)",AGNES
" ""__ of God"" (Jane Fonda flick) (5)",AGNES
 A Demille (5),AGNES
" Keats's ""The Eve of St. __"" (5)",AGNES
 Ms. Moorhead (5),AGNES
 All excited (4),AGOG
 Bug-eyed (4),AGOG
 Eager (4),AGOG
 Wide-eyed (4),AGOG
 Extreme pain (5),AGONY
 Athens marketplace (5),AGORA
 Greek marketplace (5),AGORA
 Naxos marketplace (5),AGORA
 Where the ancient Greeks shopped (5),AGORA
 Classical malls (6),AGORAE
 City southeast of New Delhi (4),AGRA
 Taj Mahal site (4),AGRA
 Taj Mahal site (4),AGRA
 Taj Mahal site (4),AGRA
 Taj Mahal site (4),AGRA
 Taj Mahal site (4),AGRA
 Taj Mahal site (4),AGRA
 Act the yes-man (5),AGREE
 Be in accord (5),AGREE
 Be in accord (5),AGREE
 Concur (5),AGREE
 Corresponds. gramatically (6),AGREES
 Sees eye to eye (6),AGREES
 Introduction to culture? (4),AGRI
 Water. in 20A (4),AGUA
 Fit of chills (4),AGUE
 Malaria fever (4),AGUE
" ""Son of ___"" (4)",AGUN
" ""Son of ____"" (4)",AGUN
" ""Pequod"" skipper (4)",AHAB
" ""Pequod"" skipper (4)",AHAB
" ""Pequod"" skipper (4)",AHAB
 Jezebel's husband (4),AHAB
 Moby's menacer (4),AHAB
 Time-and-__ (5),AHALF
 Triumphant cries (4),AHAS
 At the drop of ___ (4),AHAT
 Pull a rabbit out of __ (4),AHAT
 Sound before a blessing? (6),AHCHOO
 Be in the lead (5),AHEAD
 Leading (5),AHEAD
" ""May I interrupt?"" (4)",AHEM
" ""Pardon me"" (4)",AHEM
 Attention-getter (4),AHEM
 Attention-getting sound (4),AHEM
 Attention-getting sound (4),AHEM
 Throat-clearing sound (4),AHEM
" ""Take ___!"" (""Scram!"") (5)",AHIKE
 Call to a mate (4),AHOY
 Nautical term (4),AHOY
" ""I understand!"" (4)",AHSO
 Comment of understanding (4),AHSO
" ""O patria mia"" singer (4)",AIDA
 Elton John-Tim Rice musical (4),AIDA
 Leontyne Price role (4),AIDA
 Opera debuting in Cairo in 1871 (4),AIDA
 Verdi heroine (4),AIDA
 Verdi heroine (4),AIDA
 Verdi opera (4),AIDA
 Verdi opus (4),AIDA
 Verdi work (4),AIDA
" Quinn of ""Desperately Seeking Susan"" (5)",AIDAN
" Quinn of ""Restless"" (5)",AIDAN
 Helper (4),AIDE
 Right-hand person (4),AIDE
 Right-hand person (4),AIDE
 Washington worker (4),AIDE
 White House staffer (4),AIDE
 White House staffer (4),AIDE
 Chipped in (5),AIDED
 Interns (5),AIDES
 Washington workers (5),AIDES
 Abets (4),AIDS
 Assists (4),AIDS
 Helps out (4),AIDS
 Lends a hand (4),AIDS
 Lends a hand (4),AIDS
" ""Great Circle"" writer Conrad (5)",AIKEN
 Had the blahs (5),AILED
" ""Good for what __ you"" (4)",AILS
 Feels poorly (4),AILS
 Has a bug (4),AILS
 Has the sniffles (4),AILS
" ""Je Vous ___"" (1947 song) (4)",AIME
 Actress Anouk (5),AIMEE
 Goals (4),AIMS
 Aligns the crosshairs on (6),AIMSAT
 Billion add-on (4),AIRE
 Million and billion extender (4),AIRE
 Broadcasted (5),AIRED
 Buenos __ (5),AIRES
 Buenos ____ (5),AIRES
 More breezy (6),AIRIER
 More breezy (6),AIRIER
 Flying Fortress crew (6),AIRMEN
 Broadcasts (4),AIRS
 Mannered behavior (4),AIRS
 Melodies (4),AIRS
 They're put on by snobs (4),AIRS
 Blithe (4),AIRY
 Light as a feather (4),AIRY
 Dairy section. perhaps (5),AISLE
 Gangway (5),AISLE
 Supermarket walkway (5),AISLE
 Supermarket sections (6),AISLES
 Not quite shut (4),AJAR
 Not quite shut (4),AJAR
 Slightly open (4),AJAR
 Unshut (4),AJAR
 When is a door not a door? (4),AJAR
 Trojan War hero (4),AJAX
" ""I can take ____!"" (5)",AJOKE
 Cabaret singer Karen (5),AKERS
 Cabaret singer Karen (5),AKERS
 Actor Tamiroff (4),AKIM
 Set in a bent position (6),AKIMBO
 Analogous (4),AKIN
 Cognate (4),AKIN
 Like. sort of (4),AKIN
 Related by blood (4),AKIN
 Related by blood (4),AKIN
" ""The Night Stalker"" actor (5)",AKINS
 Japanese film director: Kurosawa (5),AKIRA
" ""__ Before Dying"" (5)",AKISS
" ""The rubber capital of the world"" (5)",AKRON
 Tire-producing city (5),AKRON
" ""When I was ___ ..."" (4)",ALAD
 Winglike (4),ALAE
 Winglike (4),ALAE
 Wings (4),ALAE
 Wings for Mercury (4),ALAE
 Half court game? (4),ALAI
 Half court game? (4),ALAI
 Jai __ (4),ALAI
 Jai __ (4),ALAI
 Jai __ (4),ALAI
 Jai ___ (4),ALAI
 Actor Delon (5),ALAIN
 Actor Delon (5),ALAIN
 Bowie's last stand (5),ALAMO
 Car rental name (5),ALAMO
 Davy's last stand (5),ALAMO
 Well-known 1836 name (5),ALAMO
 You must remember this (5),ALAMO
 Los __ (nuke site) (6),ALAMOS
" Alda of ""MASH"" (4)",ALAN
 Defender Dershowitz (4),ALAN
 Greenspan of The Fed (4),ALAN
 Hawkeye portrayer (4),ALAN
 The Fed's Greenspan (4),ALAN
" Thicke of ""Hope & Gloria"" (4)",ALAN
" ""The George &  __ Show"" (5)",ALANA
 Pop star Morissette (6),ALANIS
 Support gr. (6),ALANON
 Controversial orchard spray (4),ALAR
 Controversial orchard spray (4),ALAR
 Controversial tree spray (4),ALAR
 Morning sound (5),ALARM
 Smoke detector. e.g. (5),ALARM
" ""For pity's sake!"" (4)",ALAS
" ""Oh. woe!"" (4)",ALAS
" ""__. poor Yorick!"" (4)",ALAS
 49th st. (4),ALAS
 Br. Columbia neighbor (4),ALAS
 Exclamation of pity (4),ALAS
 Griever's exclamation (4),ALAS
 Sorrowful word (4),ALAS
 Sorry word (4),ALAS
 Wistful word (4),ALAS
 Word of compassion (4),ALAS
 Word of dismay (4),ALAS
 Word of woe (4),ALAS
 Word of woe (4),ALAS
 Michener novel (6),ALASKA
 Michener novel (6),ALASKA
 Winglike (5),ALATE
 Cape south of Flattery (5),ALAVA
" ""There oughta be __!"" (4)",ALAW
" ""There oughta be ____!"" (4)",ALAW
" Actress Jessica of ""Dark Angel"" (4)",ALBA
 Goya's duchess (4),ALBA
" ""Wozzeck"" composer Berg (5)",ALBAN
" ""A Delicate Balance"" playwright (5)",ALBEE
" ""Three Tall Women"" playwright (5)",ALBEE
 Priestly vestments (4),ALBS
 Vestments (4),ALBS
 Yonder (4),ALBS
 It may have several cuts (5),ALBUM
 Northwestern highway (5),ALCAN
 Pilgrim John (5),ALDEN
 Standish' s stand-in (5),ALDEN
 Nobel winning chemist (1950) (5),ALDER
 Catkin sources (6),ALDERS
 Deciduous. flowering trees (6),ALDERS
 ___ Ray (4),ALDO
 A Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Baldwin (4),ALEC
 Actor Guinness (4),ALEC
 Actor Guinness (4),ALEC
 Fish sauce (4),ALEC
 Fish sauce (4),ALEC
 He played Obi-Wan (4),ALEC
 He played Obi-Wan (4),ALEC
 One o� the Waughs (4),ALEC
 Sir __ Douglas-Home (4),ALEC
 Waugh or Guinness (4),ALEC
 Smart __ (5),ALECK
 Nautical shelter (4),ALEE
 Safe. on board (4),ALEE
 Sheltered (4),ALEE
 Sheltered from the wind (4),ALEE
 Sheltered. nautically (4),ALEE
 First letter. in Hebrew (4),ALEF
 Hebrew alphabet start: var. (4),ALEF
" ""Break ____!"" (4)",ALEG
" ""Shake ___"" (4)",ALEG
 Shake __ (hurry) (4),ALEG
 Shake ___ (4),ALEG
 Something to shake (4),ALEG
 Coeur d'__ (5),ALENE
 Coeur d'__ (5),ALENE
 Coeur d'__ (5),ALENE
 Coeur d'__. Idaho (5),ALENE
 Oldsmobile model (5),ALERO
 On the ball (5),ALERT
 On the lookout (5),ALERT
 Wide awake (5),ALERT
 Heads up! (6),ALERTS
 Dart-players' quaffs (4),ALES
 Heavy beers (4),ALES
 Keg contents (4),ALES
 Pub orders (4),ALES
 Pub potables (4),ALES
 Stout cousins (4),ALES
 Alaskan islander (5),ALEUT
 Alaskan native (5),ALEUT
 Eskimo's cousin (5),ALEUT
 Native American (5),ALEUT
" ""Jeopardy!"" host Trebek (4)",ALEX
" ""Roots"" author Haley (4)",ALEX
 Author Haley (4),ALEX
 TV's Trebek (4),ALEX
" Trebek of ""Jeopardy!"" (4)",ALEX
" Trebek of ""Jeopardy!"" (4)",ALEX
 __-Romeo (4),ALFA
 Actress Woodard (5),ALFRE
 Aquatic plant (4),ALGA
 Birdbath organism (4),ALGA
 Giant kelp. for one (4),ALGA
 Simple plant (4),ALGA
 Simple plant (4),ALGA
 Pond scum (5),ALGAE
 Pool problem (5),ALGAE
" ""Ragged Dick"" writer (5)",ALGER
 Inter __ (4),ALIA
 Inter __ (4),ALIA
 Inter __ (among others) (4),ALIA
 Inter ___ (4),ALIA
 Other: Latin (4),ALIA
 Assumed name (5),ALIAS
 John Smith. perhaps (5),ALIAS
 Rap-sheet info (5),ALIAS
" TV's ""___ Smith and Jones"" (5)",ALIAS
 Acquittal ploy (5),ALIBI
 Cover story? (5),ALIBI
 Excuse (5),ALIBI
 Excuse (5),ALIBI
 Make excuses for (5),ALIBI
 Suspect's excuse (5),ALIBI
 Excuses (6),ALIBIS
 Trixie's sitcom friend (5),ALICE
" ""Clueless"" star Silverstone (6)",ALICIA
" ""Put __ on it!"" (4)",ALID
" ""Put ___ on it"" (4)",ALID
" ""I cannot tell __"" (4)",ALIE
 George wouldn't tell it (4),ALIE
 Washington didn't tell this (4),ALIE
 What George couldn't tell (4),ALIE
 1979 Sigourney Weaver thriller (5),ALIEN
 Extraterrestrial (5),ALIEN
 Of another world (5),ALIEN
 UFO passenger (5),ALIEN
 Little green men? (6),ALIENS
 Mork and Alf (6),ALIENS
 Land (6),ALIGHT
 Do some wheel work (5),ALIGN
 Make parallel (5),ALIGN
 Straighten (5),ALIGN
 Does a front-end job (6),ALIGNS
 Joins a cause (6),ALIGNS
 Common Latin expression. et ___ (4),ALII
 Dress design (5),ALINE
 Skirt style (5),ALINE
 Dress styles (6),ALINES
 Novelist Lurie (6),ALISON
 Novelist Lurie (6),ALISON
 Prime party-goers (5),ALIST
 Came down to earth (4),ALIT
 Came to earth (4),ALIT
 Came to rest (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Landed (4),ALIT
 Settled (4),ALIT
 Settled down (4),ALIT
 Bustling (5),ALIVE
 Existing (5),ALIVE
 Full of spirit (5),ALIVE
 Full of spirit (5),ALIVE
 Vibrant (5),ALIVE
 Soda ash (6),ALKALI
" ""It was ___ joke!"" (4)",ALLA
 Milan's Teatro ____ Scala (4),ALLA
 __ breve (4),ALLA
 Deity for 1D (5),ALLAH
 Islam deity (5),ALLAH
 __ once (in unison) (5),ALLAT
 Put to rest (5),ALLAY
 Put to rest (5),ALLAY
 Claim (6),ALLEGE
 Woody or Steve (5),ALLEN
 Strike locale (5),ALLEY
 One of a Greenwich Village sitcom pair (5),ALLIE
 Bushed (5),ALLIN
 Bushed (5),ALLIN
 Bushed (5),ALLIN
 Exhausted (5),ALLIN
" ""__ Me"" (jazz standard) (5)",ALLOF
 ____ the above (alternate answer) (5),ALLOF
 __-nothing (5),ALLOR
 Distribute (5),ALLOT
 Divvy up (5),ALLOT
 Parcel out (5),ALLOT
 Parcel out (5),ALLOT
 Permit (5),ALLOW
 Permit (5),ALLOW
 Makes provisions for (6),ALLOWS
" ""___ Well That Ends Well"" (4)",ALLS
" ""___ Well That Ends Well"" (4)",ALLS
" ""____ Well That ..."" (4)",ALLS
 Hint (6),ALLUDE
 Refer. indirectly (6),ALLUDE
 Attraction (6),ALLURE
 Enticement (6),ALLURE
 Confederate (4),ALLY
 Soprano Gluck (4),ALMA
 Soprano Gluck (4),ALMA
 Soprano Gluck (4),ALMA
 Soprano Gluck (4),ALMA
 __ mater (4),ALMA
 Marzipan base (6),ALMOND
 Marzipan ingredient (6),ALMOND
" ""Close. but no cigar"" (6)",ALMOST
 Charitable donation (4),ALMS
 Charity (4),ALMS
 Poor box contribution (4),ALMS
 Poorbox coins (4),ALMS
 Poorbox filler (4),ALMS
 Get __ of (check out) (5),ALOAD
 Take ___ off: sit down (5),ALOAD
 African succulent (4),ALOE
 Burn balm (4),ALOE
 Emollient ingredient (4),ALOE
 Emollient ingredient (4),ALOE
 Hand-cream additive (4),ALOE
 Lily-family member (4),ALOE
 Lily-family member (4),ALOE
 Lotion additive (4),ALOE
 Lotion additive (4),ALOE
 Lotion additive (4),ALOE
 Lotion additive (4),ALOE
 Lotion base (4),ALOE
 Lotion ingredient (4),ALOE
 Lotion soother (4),ALOE
 Medicinal plant (4),ALOE
 Succulent plant (4),ALOE
 Succulent plant (4),ALOE
 Succulent plant (4),ALOE
 Sunburn soother (4),ALOE
 Sunburn soother (4),ALOE
 Sunburn soother (4),ALOE
 __ vera (4),ALOE
 Bitter _____ (5),ALOES
 Lotion additives (5),ALOES
 Lotion ingredients (5),ALOES
 Medicinal herbs (5),ALOES
 Medicinal plants (5),ALOES
 Skin-lotion ingredients (5),ALOES
 Don Ho farewell! (5),ALOHA
 Hilo hello (5),ALOHA
 Hilo hello (5),ALOHA
 Honolulu's __ Bowl (5),ALOHA
 Honolulu's ____ Bowl (5),ALOHA
 Oahu greeting (5),ALOHA
 Ballfield expectorator of 1996 (6),ALOMAR
 Sandy or Roberto (6),ALOMAR
 Like a soliloquist. perhaps (5),ALONE
 Solitary (5),ALONE
 Solo (5),ALONE
 Stand-__ computer. non-network (5),ALONE
 Unaccompanied (5),ALONE
 Unaccompanied (5),ALONE
 Unique (5),ALONE
" ""All __ the Watchtower"" (5)",ALONG
 Getting __ in years (5),ALONG
 In the course of (5),ALONG
 Old. informally (5),ALONG
 Emotionally removed (5),ALOOF
 Crazy as __ (5),ALOON
 Knock for __ (astonish) (5),ALOOP
" ""Thanks ____!"" (4)",ALOT
 Bunches (4),ALOT
 Place to build (4),ALOT
 Plenty (4),ALOT
 Scads (4),ALOT
 Scads (4),ALOT
 Baseball brothers' name (4),ALOU
 Baseball's Felipe (4),ALOU
 Baseball's Moises (4),ALOU
 Big-league family name (4),ALOU
 One way to think (5),ALOUD
 Llama wool (6),ALPACA
 Omega's antithesis (5),ALPHA
 Kind of skiing (6),ALPINE
 Big name in dog food (4),ALPO
 Chow for a chow chow (4),ALPO
 Ken-L-Ration rival (4),ALPO
 Mont Blanc range (4),ALPS
 Yodeler's place (4),ALPS
 Zermatt locale (4),ALPS
" ""The Sun ___ Rises"" (4)",ALSO
 Furthermore (4),ALSO
